album_id,album_name,album_release_date,album_total_tracks,album_url
6i7mF7whyRJuLJ4ogbH2wh,One Thing At A Time,2023-03-03,36,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh
7I0tjwFtxUwBC1vgyeMAax,Flowers,2023-01-13,1,https://open.spotify.com/album/7I0tjwFtxUwBC1vgyeMAax
5Uly85dJHHDfHQCsyUQ8gw,Gettin' Old,2023-03-24,18,https://open.spotify.com/album/5Uly85dJHHDfHQCsyUQ8gw
2b2GHWESCWEuHiCZ2Skedp,Calm Down (with Selena Gomez),2022-08-25,1,https://open.spotify.com/album/2b2GHWESCWEuHiCZ2Skedp
0lZQagJ5r0crB35zphSD4A,All My Life (feat. J. Cole),2023-05-12,1,https://open.spotify.com/album/0lZQagJ5r0crB35zphSD4A
4XiUZULpVS6gTgKKU7KTX5,Favorite Song,2023-02-17,1,https://open.spotify.com/album/4XiUZULpVS6gTgKKU7KTX5
07w0rG5TETcyihsEIZR3qG,SOS,2022-12-09,23,https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG
7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,2022-12-02,15,https://open.spotify.com/album/7txGsnDSqVMoRl6RQ9XyZP
1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2023-05-26,23,https://open.spotify.com/album/1fnJ7k0bllNfL1kVdNVW1A
3Mm1P5CEEAiuJqBclr2EyU,Ella Baila Sola,2023-03-16,1,https://open.spotify.com/album/3Mm1P5CEEAiuJqBclr2EyU
493HYe7N5pleudEZRyhE7R,All I Want Is You,2010-11-26,13,https://open.spotify.com/album/493HYe7N5pleudEZRyhE7R
3lS1y25WAhcqJDATJK70Mq,Midnights (3am Edition),2022-10-22,20,https://open.spotify.com/album/3lS1y25WAhcqJDATJK70Mq
6Exo0MYoL3XammoTDeihFy,Die For You (Remix),2023-02-24,1,https://open.spotify.com/album/6Exo0MYoL3XammoTDeihFy
1CmTOKCeyz1aHH04OwvTPv,Something in the Orange,2022-04-22,4,https://open.spotify.com/album/1CmTOKCeyz1aHH04OwvTPv
6aBVGuOUEuX18rHxyDWbti,La Bebe (Remix),2023-03-17,2,https://open.spotify.com/album/6aBVGuOUEuX18rHxyDWbti
5gCcb5fsSb6w5K8SyJrgtB,WHERE SHE GOES,2023-05-18,1,https://open.spotify.com/album/5gCcb5fsSb6w5K8SyJrgtB
7aGzSSUD8S6IhPCsZSiuMT,un x100to,2023-04-17,1,https://open.spotify.com/album/7aGzSSUD8S6IhPCsZSiuMT
72HQoHvsJTqQaCh3tKyVrd,Need A Favor,2022-12-09,3,https://open.spotify.com/album/72HQoHvsJTqQaCh3tKyVrd
67WUCOjyl44d8fAFzHONjW,Search & Rescue,2023-04-07,1,https://open.spotify.com/album/67WUCOjyl44d8fAFzHONjW
2ORO3nNnFXxsvz9Pcd9RdI,You Proof,2022-05-13,1,https://open.spotify.com/album/2ORO3nNnFXxsvz9Pcd9RdI
7qcSUc5Af63mhfTF60KTEA,Chemical,2023-04-14,1,https://open.spotify.com/album/7qcSUc5Af63mhfTF60KTEA
1ZXXEGGhHYgOEzYUjP6bPR,The Beginning: Cupid,2023-02-24,3,https://open.spotify.com/album/1ZXXEGGhHYgOEzYUjP6bPR
7Gqqhy2ohX3puChylfkvT0,Rock and A Hard Place,2022-06-10,5,https://open.spotify.com/album/7Gqqhy2ohX3puChylfkvT0
43qfLpwe6sEOEqxVmOHRu0,Eyes Closed,2023-03-24,1,https://open.spotify.com/album/43qfLpwe6sEOEqxVmOHRu0
6cVfHBcp3AdpYY0bBglkLN,Boy's a liar Pt. 2,2023-02-03,2,https://open.spotify.com/album/6cVfHBcp3AdpYY0bBglkLN
