track_name,track_id,album_name,artist_name,date_added,track_url,track_duration,album_id,artist_id
Last Night,7K3BhSpAxZBznislvUMVtn,One Thing At A Time,Morgan Wallen,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn,163854,6i7mF7whyRJuLJ4ogbH2wh,4oUHIQIBe0LHzYfvXNW4QM
Flowers,0yLdNVWF3Srea0uzk55zFn,Flowers,Miley Cyrus,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn,200454,7I0tjwFtxUwBC1vgyeMAax,5YGY8feqx7naU7z4HrwZM6
Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,Gettin' Old,Luke Combs,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT,265493,5Uly85dJHHDfHQCsyUQ8gw,718COspgdWOnwOFpJHRZHS
Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,239317,2b2GHWESCWEuHiCZ2Skedp,46pWGuE3dSwY3bMMXGBvVS
All My Life (feat. J. Cole),6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),Lil Durk,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/6HgWWaMu31KdOpEG5l28BG,223878,0lZQagJ5r0crB35zphSD4A,3hcs9uc56yIGFCSy9leWe7
Favorite Song,1SRw5p2lVAi7RGlHEmZg66,Favorite Song,Toosii,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/1SRw5p2lVAi7RGlHEmZg66,208630,4XiUZULpVS6gTgKKU7KTX5,6BH1xcDkwbbyrLMUKECsW1
Kill Bill,3OHfY25tqY28d16oZczHc8,SOS,SZA,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8,153946,07w0rG5TETcyihsEIZR3qG,7tYKF4w9nC0nq9CsPZTHyP
Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,Metro Boomin,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO,221520,7txGsnDSqVMoRl6RQ9XyZP,0iEtIxbK0KxaSlF7G42ZOp
Karma (feat. Ice Spice),4i6cwNY6oIUU2XZxPIw82Y,Midnights (The Til Dawn Edition),Taylor Swift,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/4i6cwNY6oIUU2XZxPIw82Y,201493,1fnJ7k0bllNfL1kVdNVW1A,06HL4z0CvFAxyc27GXpf02
Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,Eslabon Armado,2023-06-23 04:27:04+00:00,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb,165671,3Mm1P5CEEAiuJqBclr2EyU,0XeEobZplHxzM9QzFQWLiR
